id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals,n_langs,mpd,mpd_missing,mpd_low_cov,gb_complete_cov,gb_incomplete_cov,gb_coverage,gb_missing
,Language Modelling with Pixels,2023-01-01,https://openreview.net/pdf?id=FkSp8VW8RjH,iclr,ICLR2023 ,"Language models are defined over a finite set of inputs, which creates a vocabulary bottleneck when we attempt to scale the number of supported languages. Tackling this bottleneck results in a trade-off between what can be represented in the embedding matrix and computational issues in the output layer. This paper introduces PIXEL, the Pixel-based Encoder of Language, which suffers from neither of these issues. PIXEL is a pretrained language model that renders text as images, making it possible to transfer representations across languages based on orthographic similarity or the co-activation of pixels. PIXEL is trained to reconstruct the pixels of masked patches instead of predicting a distribution over tokens. We pretrain the 86M parameter PIXEL model on the same English data as BERT and evaluate on syntactic and semantic tasks in typologically diverse languages, including various non-Latin scripts. We find that PIXEL substantially outperforms BERT on syntactic and semantic processing tasks on scripts that are not found in the pretraining data, but PIXEL is slightly weaker than BERT when working with Latin scripts. Furthermore, we find that PIXEL is more robust than BERT to orthographic attacks and linguistic code-switching, further confirming the benefits of modelling language with pixels.",1,1,1,0,0,0,,,0,0,,,"amh,ara,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swa,tam,tel,tha,tur,urd,vie,wol,yor,zho","amh,ara,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swa,tam,tel,tha,tur,urd,vie,wol,yor,zho","amh,ara,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swa,tam,tel,tha,tur,urd,vie,wol,yor,zho","amh,arb,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swh,tam,tel,tha,tur,urd,vie,wol,yor,cmn",32,0.659891182795699,0,1,175,20,0.897435897435898,0
,Language models are multilingual chain-of-thought reasoners,2023-01-01,https://openreview.net/pdf?id=fR3wGCk-IXp,iclr,ICLR2023 ,"We evaluate the reasoning abilities of large language models in multilingual settings. We introduce the Multilingual Grade School Math (MGSM) benchmark, by manually translating 250 grade-school math problems from the GSM8K dataset (Cobbe et al., 2021) into ten typologically diverse languages. We find that the ability to solve MGSM problems via chain-of-thought prompting emerges with increasing model scale, and that models have strikingly strong multilingual reasoning abilities, even in underrepresented languages such as Bengali and Swahili. Finally, we show that multilingual reasoning abilities of language models extend to other tasks such as commonsense reasoning and word-in-context semantic judgment. The MGSM benchmark is publicly available at AnonymousLink and the supplementary material.",1,1,1,1,1,1,,,0,0,,,"ben,deu,fra,jpn,rus,spa,swa,tel,tha,zho","ben,deu,eng,fra,jpn,rus,spa,swa,tel,tha,zho","ben,deu,fra,jpn,rus,spa,swa,tel,tha,zho","ben,deu,fra,jpn,rus,spa,swh,tel,tha,cmn",10,0.648277777777778,0,0,142,53,0.728205128205128,0
,Weakly Supervised POS Taggers Perform Poorly on ,2020-01-01,https://aaai.org/papers/08066-weakly-supervised-pos-taggers-perform-poorly-on-em-truly-em-low-resource-languages/,aaai,AAAI Technical Track: Natural Language Processing,"Part-of-speech (POS) taggers for low-resource languages which are exclusively based on various forms of weak supervision – e.g., cross-lingual transfer, type-level supervision, or a combination thereof – have been reported to perform almost as well as supervised ones. However, weakly supervised POS taggers are commonly only evaluated on languages that are very different from truly low-resource languages, and the taggers use sources of information, like high-coverage and almost error-free dictionaries, which are likely not available for resource-poor languages. We train and evaluate state-of-the-art weakly supervised POS taggers for a typologically diverse set of 15 truly low-resource languages. On these languages, given a realistic amount of resources, even our best model gets only less than half of the words right. Our results highlight the need for new and different approaches to POS tagging for truly low-resource languages.",1,1,1,0,0,0,,,0,0,,,"amh,bel,bre,bxr,fao,fil,hsb,hye,kaz,kmr,lit,mar,mlt,tam,tel","amh,bel,bre,bxr,deu,fao,fil,hsb,hye,ita,kaz,kmr,lit,mar,mlt,por,spa,swe,tam,tel","amh,bel,bre,bxr,fao,fil,hsb,hye,kaz,kmr,lit,mar,mlt,tam,tel","amh,bel,bre,bxm,fao,tgl,hsb,hye,kaz,kmr,lit,mar,mlt,tam,tel",15,0.714276923076923,0,1,146,49,0.748717948717949,0
,Improving the Cross-Lingual Generalisation in Visual Question Answering,2023-01-01,https://ojs.aaai.org/index.php/AAAI/article/view/26574,aaai,AAAI Technical Track on Speech & Natural Language Processing,"While several benefits were realized for multilingual vision-language pretrained models, recent benchmarks across various tasks and languages showed poor cross-lingual generalisation when multilingually pre-trained vision-language models are applied to non-English data, with a large gap between (supervised) English performance and (zero-shot) cross-lingual transfer. In this work, we explore the poor performance of these models on a zero-shot cross-lingual visual question answering (VQA) task, where models are fine-tuned on English visual-question data and evaluated on 7 typologically diverse languages. We improve cross-lingual transfer with three strategies: (1) we introduce a linguistic prior objective to augment the cross-entropy loss with a similarity-based loss to guide the model during training, (2) we learn a task-specific subnetwork that improves cross-lingual generalisation and reduces variance without model modification, (3) we augment training examples using synthetic code-mixing to promote alignment of embeddings between source and target languages. Our experiments on xGQA using the pretrained multilingual multimodal transformers UC2 and M3P demonstrates the consistent effectiveness of the proposed fine-tuning strategy for 7 languages, outperforming existing transfer methods with sparse models.",1,1,1,0,0,0,,,0,0,,,"ben,deu,ind,kor,por,rus,zho","ben,deu,eng,ind,kor,por,rus,zho","ben,deu,ind,kor,por,rus,zho","ben,deu,ind,kor,por,rus,cmn",7,0.5901,0,0,124,71,0.635897435897436,0
,"IGLUE: A Benchmark for Transfer Learning across Modalities, Tasks, and Languages",2022-01-01,https://proceedings.mlr.press/v162/bugliarello22a/bugliarello22a.pdf,icml,Proceedings of the 39th International Conference on Machine Learning,"Reliable evaluation benchmarks designed for replicability and comprehensiveness have driven progress in machine learning. Due to the lack of a multilingual benchmark, however, vision-and-language research has mostly focused on English language tasks. To fill this gap, we introduce the Image-Grounded Language Understanding Evaluation benchmark. IGLUE brings together{—}by both aggregating pre-existing datasets and creating new ones{—}visual question answering, cross-modal retrieval, grounded reasoning, and grounded entailment tasks across 20 diverse languages. Our benchmark enables the evaluation of multilingual multimodal models for transfer learning, not only in a zero-shot setting, but also in newly defined few-shot learning setups. Based on the evaluation of the available state-of-the-art models, we find that translate-test transfer is superior to zero-shot transfer and that few-shot learning is hard to harness for many tasks. Moreover, downstream performance is partially explained by the amount of available unlabelled textual data for pretraining, and only weakly by the typological distance of target{–}source languages. We hope to encourage future research efforts in this area by releasing the benchmark to the community.",1,0,1,1,1,1,,,0,1,,,,"arb,ben,bul,cmn,dan,deu,ell,eng,est,fra,ind,jpn,kor,por,rus,spa,swa,tam,tur,vie","arb,ben,bul,cmn,dan,deu,ell,eng,est,fra,ind,jpn,kor,por,rus,spa,swa,tam,tur,vie","arb,ben,bul,cmn,dan,deu,ell,eng,ekk,fra,ind,jpn,kor,por,rus,spa,swh,tam,tur,vie",20,0.630598421052632,0,0,166,29,0.851282051282051,0
2023.sigmorphon-1.13,SIGMORPHON–UniMorph 2023 Shared Task 0: Typologically Diverse Morphological Inflection,2023-01-01,https://aclanthology.org/2023.sigmorphon-1.13/,sigmorphon,,"The 2023 SIGMORPHON–UniMorph shared task on typologically diverse morphological inflection included a wide range of languages: 26 languages from 9 primary language families. The data this year was all lemma-split, to allow testing models’ generalization ability, and structured along the new hierarchical schema presented in (Batsuren et al., 2022). The systems submitted this year, 9 in number, showed ingenuity and innovativeness, including hard attention for explainability and bidirectional decoding. Special treatment was also given by many participants to the newly-introduced data in Japanese, due to the high abundance of unseen Kanji characters in its test set.",1,1,1,1,1,0,b,d,1,0,"f,l",n,"afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur","afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur","afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur","afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swh,tur",26,0.644370153846154,0,0,173,22,0.887179487179487,0
2023.sigmorphon-1.20,Findings of the SIGMORPHON 2023 Shared Task on Interlinear Glossing,2023-01-01,https://aclanthology.org/2023.sigmorphon-1.20/,sigmorphon,,"This paper presents the findings of the SIGMORPHON 2023 Shared Task on Interlinear Glossing. This first iteration of the shared task explores glossing of a set of six typologically diverse languages: Arapaho, Gitksan, Lezgi, Natügu, Tsez and Uspanteko. The shared task encompasses two tracks: a resource-scarce closed track and an open track, where participants are allowed to utilize external data resources. Five teams participated in the shared task. The winning team Tü-CL achieved a 23.99%-point improvement over a baseline RoBERTa system in the closed track and a 17.42%-point improvement in the open track.",1,1,0,1,1,1,b,p,1,0,i,n,"arp,ddo,git,lez,ntu,nyb,usp","arp,ddo,git,lez,ntu,nyb,usp","arp,ddo,git,lez,ntu,nyb,usp","arp,ddo,git,lez,ntu,nyb,usp",7,0.79936,0,2,98,97,0.502564102564103,0
L16-1405,Rapid Development of Morphological Analyzers for Typologically Diverse Languages,2016-01-01,https://aclanthology.org/L16-1405/,lrec,,"The Low Resource Language research conducted under DARPA’s Broad Operational Language Translation (BOLT) program required the rapid creation of text corpora of typologically diverse languages (Turkish, Hausa, and Uzbek) which were annotated with morphological information, along with other types of annotation. Since the output of morphological analyzers is a significant aid to morphological annotation, we developed a morphological analyzer for each language in order to support the annotation task, and also as a deliverable by itself. Our framework for analyzer creation results in tables similar to those used in the successful SAMA analyzer for Arabic, but with a more abstract linguistic level, from which the tables are derived. A lexicon was developed from available resources for integration with the analyzer, and given the speed of development and uncertain coverage of the lexicon, we assumed that the analyzer would necessarily be lacking in some coverage for the project annotation. Our analyzer framework was therefore focused on rapid implementation of the key structures of the language, together with accepting “wildcard” solutions as possible analyses for a word with an unknown stem, building upon our similar experiences with morphological annotation with Modern Standard Arabic and Egyptian Arabic.",1,1,1,0,0,0,p,b,1,0,i,n,"hau,tur,uzb","hau,tur,uzb","hau,tur,uzb","hau,tur,uzb",3,0.634466666666667,0,0,34,161,0.174358974358974,0
N18-1173,Word Emotion Induction for Multiple Languages as a Deep Multi-Task Learning Problem,2018-01-01,https://aclanthology.org/N18-1173/,naacl,,"Predicting the emotional value of lexical items is a well-known problem in sentiment analysis. While research has focused on polarity for quite a long time, meanwhile this early focus has been shifted to more expressive emotion representation models (such as Basic Emotions or Valence-Arousal-Dominance). This change resulted in a proliferation of heterogeneous formats and, in parallel, often small-sized, non-interoperable resources (lexicons and corpus annotations). In particular, the limitations in size hampered the application of deep learning methods in this area because they typically require large amounts of input data. We here present a solution to get around this language data bottleneck by rephrasing word emotion induction as a multi-task learning problem. In this approach, the prediction of each independent emotion dimension is considered as an individual task and hidden layers are shared between these dimensions. We investigate whether multi-task learning is more advantageous than single-task learning for emotion prediction by comparing our model against a wide range of alternative emotion and polarity induction methods featuring 9 typologically diverse languages and a total of 15 conditions. Our model turns out to outperform each one of them. Against all odds, the proposed deep learning approach yields the largest gain on the smallest data sets, merely composed of one thousand samples.",1,1,1,0,0,0,p,p,0,0,n,n,"deu,eng,ind,ita,nld,pol,por,spa,zho","deu,eng,ind,ita,nld,pol,por,spa,zho","deu,eng,ind,ita,nld,pol,por,spa,zho","deu,eng,ind,ita,nld,pol,por,spa,cmn",9,0.510569444444444,0,0,128,67,0.656410256410256,0
2023.acl-long.42,Making More of Little Data: Improving Low-Resource Automatic Speech Recognition Using Data Augmentation,2023-01-01,https://aclanthology.org/2023.acl-long.42/,acl,,"The performance of automatic speech recognition (ASR) systems has advanced substantially in recent years, particularly for languages for which a large amount of transcribed speech is available. Unfortunately, for low-resource languages, such as minority languages, regional languages or dialects, ASR performance generally remains much lower. In this study, we investigate whether data augmentation techniques could help improve low-resource ASR performance, focusing on four typologically diverse minority languages or language variants (West Germanic: Gronings, West-Frisian; Malayo-Polynesian: Besemah, Nasal). For all four languages, we examine the use of self-training, where an ASR system trained with the available human-transcribed data is used to generate transcriptions, which are then combined with the original data to train a new ASR system. For Gronings, for which there was a pre-existing text-to-speech (TTS) system available, we also examined the use of TTS to generate ASR training data from text-only sources. We find that using a self-training approach consistently yields improved performance (a relative WER reduction up to 20.5% compared to using an ASR system trained on 24 minutes of manually transcribed speech). The performance gain from TTS augmentation for Gronings was even stronger (up to 25.5% relative reduction in WER compared to a system based on 24 minutes of manually transcribed speech). In sum, our results show the benefit of using self-training or (if possible) TTS-generated data as an efficient solution to overcome the limitations of data availability for resource-scarce languages in order to improve ASR performance.",1,1,1,1,1,0,b,b,0,0,n,n,"fry,gos,nsy,pse","bes,fry,gos,nas","fry,gos,nsy,pse","fry,gos,nsy,pse",4,,0,3,0,195,0,0
