id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals
,Language Modelling with Pixels,2023-01-01,https://openreview.net/pdf?id=FkSp8VW8RjH,iclr,ICLR2023 ,"Language models are defined over a finite set of inputs, which creates a vocabulary bottleneck when we attempt to scale the number of supported languages. Tackling this bottleneck results in a trade-off between what can be represented in the embedding matrix and computational issues in the output layer. This paper introduces PIXEL, the Pixel-based Encoder of Language, which suffers from neither of these issues. PIXEL is a pretrained language model that renders text as images, making it possible to transfer representations across languages based on orthographic similarity or the co-activation of pixels. PIXEL is trained to reconstruct the pixels of masked patches instead of predicting a distribution over tokens. We pretrain the 86M parameter PIXEL model on the same English data as BERT and evaluate on syntactic and semantic tasks in typologically diverse languages, including various non-Latin scripts. We find that PIXEL substantially outperforms BERT on syntactic and semantic processing tasks on scripts that are not found in the pretraining data, but PIXEL is slightly weaker than BERT when working with Latin scripts. Furthermore, we find that PIXEL is more robust than BERT to orthographic attacks and linguistic code-switching, further confirming the benefits of modelling language with pixels.",1,1,1,0,0,0,,,0,0,,,"amh,ara,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swa,tam,tel,tha,tur,urd,vie,wol,yor,zho","amh,ara,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swa,tam,tel,tha,tur,urd,vie,wol,yor,zho","amh,ara,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swa,tam,tel,tha,tur,urd,vie,wol,yor,zho","amh,arb,ben,bul,cop,deu,ell,eng,fin,fra,hau,hin,ibo,ind,jpn,kin,kor,lug,luo,pcm,rus,spa,swh,tam,tel,tha,tur,urd,vie,wol,yor,cmn"
,Language models are multilingual chain-of-thought reasoners,2023-01-01,https://openreview.net/pdf?id=fR3wGCk-IXp,iclr,ICLR2023 ,"We evaluate the reasoning abilities of large language models in multilingual settings. We introduce the Multilingual Grade School Math (MGSM) benchmark, by manually translating 250 grade-school math problems from the GSM8K dataset (Cobbe et al., 2021) into ten typologically diverse languages. We find that the ability to solve MGSM problems via chain-of-thought prompting emerges with increasing model scale, and that models have strikingly strong multilingual reasoning abilities, even in underrepresented languages such as Bengali and Swahili. Finally, we show that multilingual reasoning abilities of language models extend to other tasks such as commonsense reasoning and word-in-context semantic judgment. The MGSM benchmark is publicly available at AnonymousLink and the supplementary material.",1,1,1,1,1,1,,,0,0,,,"ben,deu,fra,jpn,rus,spa,swa,tel,tha,zho","ben,deu,eng,fra,jpn,rus,spa,swa,tel,tha,zho","ben,deu,fra,jpn,rus,spa,swa,tel,tha,zho","ben,deu,fra,jpn,rus,spa,swh,tel,tha,cmn"
,ROSCOE: A Suite of Metrics for Scoring Step-by-Step Reasoning,2023-01-01,https://openreview.net/pdf?id=xYlJRpzZtsY,iclr,ICLR2023 ,"Large language models show improved downstream task performance when prompted to generate step-by-step reasoning to justify their final answers. These reasoning steps greatly improve model interpretability and verification, but objectively studying their correctness (independent of the final answer) is difficult without reliable methods for automatic evaluation. We simply do not know how often the stated reasoning steps actually support the final end task predictions. In this work, we present ROSCOE, a suite of interpretable, unsupervised automatic scores that improve and extend previous text generation evaluation metrics. To evaluate ROSCOE against baseline metrics, we design a typology of reasoning errors and collect synthetic and human evaluation scores on commonly used reasoning datasets. In contrast with existing metrics, ROSCOE can measure semantic consistency, logicality, informativeness, fluency, and factuality — among other traits — by leveraging properties of step-by-step rationales. We empirically verify the strength of our metrics on five human annotated and six programmatically perturbed diagnostics datasets - covering a diverse set of tasks that require reasoning skills and show that ROSCOE can consistently outperform baseline metrics.",0,0,0,,,,,,,,,,,,,
,Weakly Supervised POS Taggers Perform Poorly on ,2020-01-01,https://aaai.org/papers/08066-weakly-supervised-pos-taggers-perform-poorly-on-em-truly-em-low-resource-languages/,aaai,AAAI Technical Track: Natural Language Processing,"Part-of-speech (POS) taggers for low-resource languages which are exclusively based on various forms of weak supervision – e.g., cross-lingual transfer, type-level supervision, or a combination thereof – have been reported to perform almost as well as supervised ones. However, weakly supervised POS taggers are commonly only evaluated on languages that are very different from truly low-resource languages, and the taggers use sources of information, like high-coverage and almost error-free dictionaries, which are likely not available for resource-poor languages. We train and evaluate state-of-the-art weakly supervised POS taggers for a typologically diverse set of 15 truly low-resource languages. On these languages, given a realistic amount of resources, even our best model gets only less than half of the words right. Our results highlight the need for new and different approaches to POS tagging for truly low-resource languages.",1,1,1,0,0,0,,,0,0,,,"amh,bel,bre,bxr,fao,fil,hsb,hye,kaz,kmr,lit,mar,mlt,tam,tel","amh,bel,bre,bxr,deu,fao,fil,hsb,hye,ita,kaz,kmr,lit,mar,mlt,por,spa,swe,tam,tel","amh,bel,bre,bxr,fao,fil,hsb,hye,kaz,kmr,lit,mar,mlt,tam,tel","amh,bel,bre,bxm,fao,tgl,hsb,hye,kaz,kmr,lit,mar,mlt,tam,tel"
,Improving the Cross-Lingual Generalisation in Visual Question Answering,2023-01-01,https://ojs.aaai.org/index.php/AAAI/article/view/26574,aaai,AAAI Technical Track on Speech & Natural Language Processing,"While several benefits were realized for multilingual vision-language pretrained models, recent benchmarks across various tasks and languages showed poor cross-lingual generalisation when multilingually pre-trained vision-language models are applied to non-English data, with a large gap between (supervised) English performance and (zero-shot) cross-lingual transfer. In this work, we explore the poor performance of these models on a zero-shot cross-lingual visual question answering (VQA) task, where models are fine-tuned on English visual-question data and evaluated on 7 typologically diverse languages. We improve cross-lingual transfer with three strategies: (1) we introduce a linguistic prior objective to augment the cross-entropy loss with a similarity-based loss to guide the model during training, (2) we learn a task-specific subnetwork that improves cross-lingual generalisation and reduces variance without model modification, (3) we augment training examples using synthetic code-mixing to promote alignment of embeddings between source and target languages. Our experiments on xGQA using the pretrained multilingual multimodal transformers UC2 and M3P demonstrates the consistent effectiveness of the proposed fine-tuning strategy for 7 languages, outperforming existing transfer methods with sparse models.",1,1,1,0,0,0,,,0,0,,,"ben,deu,ind,kor,por,rus,zho","ben,deu,eng,ind,kor,por,rus,zho","ben,deu,ind,kor,por,rus,zho","ben,deu,ind,kor,por,rus,cmn"
,"IGLUE: A Benchmark for Transfer Learning across Modalities, Tasks, and Languages",2022-01-01,https://proceedings.mlr.press/v162/bugliarello22a/bugliarello22a.pdf,icml,Proceedings of the 39th International Conference on Machine Learning,"Reliable evaluation benchmarks designed for replicability and comprehensiveness have driven progress in machine learning. Due to the lack of a multilingual benchmark, however, vision-and-language research has mostly focused on English language tasks. To fill this gap, we introduce the Image-Grounded Language Understanding Evaluation benchmark. IGLUE brings together{—}by both aggregating pre-existing datasets and creating new ones{—}visual question answering, cross-modal retrieval, grounded reasoning, and grounded entailment tasks across 20 diverse languages. Our benchmark enables the evaluation of multilingual multimodal models for transfer learning, not only in a zero-shot setting, but also in newly defined few-shot learning setups. Based on the evaluation of the available state-of-the-art models, we find that translate-test transfer is superior to zero-shot transfer and that few-shot learning is hard to harness for many tasks. Moreover, downstream performance is partially explained by the amount of available unlabelled textual data for pretraining, and only weakly by the typological distance of target{–}source languages. We hope to encourage future research efforts in this area by releasing the benchmark to the community.",1,0,1,1,1,1,,,0,1,,,,"arb,ben,bul,cmn,dan,deu,ell,eng,est,fra,ind,jpn,kor,por,rus,spa,swa,tam,tur,vie","arb,ben,bul,cmn,dan,deu,ell,eng,est,fra,ind,jpn,kor,por,rus,spa,swa,tam,tur,vie","arb,ben,bul,cmn,dan,deu,ell,eng,ekk,fra,ind,jpn,kor,por,rus,spa,swh,tam,tur,vie"
2022.wanlp-1.36,Beyond Arabic: Software for Perso-Arabic Script Manipulation,2022-01-01,https://aclanthology.org/2022.wanlp-1.36/,wanlp,,"This paper presents an open-source software library that provides a set of finite-state transducer (FST) components and corresponding utilities for manipulating the writing systems of languages that use the Perso-Arabic script. The operations include various levels of script normalization, including visual invariance-preserving operations that subsume and go beyond the standard Unicode normalization forms, as well as transformations that modify the visual appearance of characters in accordance with the regional orthographies for eleven contemporary languages from diverse language families. The library also provides simple FST-based romanization and transliteration. We additionally attempt to formalize the typology of Perso-Arabic characters by providing one-to-many mappings from Unicode code points to the languages that use them. While our work focuses on the Arabic script diaspora rather than Arabic itself, this approach could be adopted for any language that uses the Arabic script, thus providing a unified framework for treating a script family used by close to a billion people.",0,0,0,,,,,,,,,,,,,
2023.sigmorphon-1.13,SIGMORPHON–UniMorph 2023 Shared Task 0: Typologically Diverse Morphological Inflection,2023-01-01,https://aclanthology.org/2023.sigmorphon-1.13/,sigmorphon,,"The 2023 SIGMORPHON–UniMorph shared task on typologically diverse morphological inflection included a wide range of languages: 26 languages from 9 primary language families. The data this year was all lemma-split, to allow testing models’ generalization ability, and structured along the new hierarchical schema presented in (Batsuren et al., 2022). The systems submitted this year, 9 in number, showed ingenuity and innovativeness, including hard attention for explainability and bidirectional decoding. Special treatment was also given by many participants to the newly-introduced data in Japanese, due to the high abundance of unseen Kanji characters in its test set.",1,1,1,1,1,0,b,d,1,0,"f,l",n,"afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur","afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur","afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur","afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swh,tur"
2023.sigmorphon-1.15,Morphological reinflection with weighted finite-state transducers,2023-01-01,https://aclanthology.org/2023.sigmorphon-1.15/,sigmorphon,,"This paper describes the submission by the University of Arizona to the SIGMORPHON 2023 Shared Task on typologically diverse morphological (re-)infection. In our submission, we investigate the role of frequency, length, and weighted transducers in addressing the challenge of morphological reinflection. We start with the non-neural baseline provided for the task and show how some improvement can be gained by integrating length and frequency in prefix selection. We also investigate using weighted finite-state transducers, jump-started from edit distance and directly augmented with frequency. Our specific technique is promising and quite simple, but we see only modest improvements for some languages here.",0,0,0,,,,,p,,,,n,,"afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur",,
2023.sigmorphon-1.18,The BGU-MeLeL System for the SIGMORPHON 2023 Shared Task on Morphological Inflection,2023-01-01,https://aclanthology.org/2023.sigmorphon-1.18/,sigmorphon,,"This paper presents the submission by the MeLeL team to the SIGMORPHON–UniMorph Shared Task on Typologically Diverse and Acquisition-Inspired Morphological Inflection Generation Part 3: Models of Acquisition of Inflectional Noun Morphology in Polish, Estonian, and Finnish. This task requires us to produce the word form given a lemma and a grammatical case, while trying to produce the same error-rate as in children. We approach this task with a reduced-size character-based transformer model, multilingual training and an upsampling method to introduce bias.",0,0,0,,,,,p,,,,n,,"afb,amh,arz,bel,dan,deu,eng,fin,fra,grc,heb,hun,hye,ita,jpn,kat,klr,mkd,nav,rus,san,sme,spa,sqi,swa,tur",,
