model,task,wals_iso,score
mBERT,XNLI,eng,81.7
mBERT,XNLI,arb,66.0
mBERT,XNLI,bul,69.2
mBERT,XNLI,deu,71.1
mBERT,XNLI,ell,66.8
mBERT,XNLI,spa,74.9
mBERT,XNLI,fra,74.2
mBERT,XNLI,hin,60.7
mBERT,XNLI,rus,70.2
mBERT,XNLI,swh,49.3
mBERT,XNLI,tha,54.7
mBERT,XNLI,tur,61.2
mBERT,XNLI,urd,58.2
mBERT,XNLI,vie,70.5
mBERT,XNLI,cmn,69.0
XLM-R,XNLI,eng,88.7
XLM-R,XNLI,arb,77.2
XLM-R,XNLI,bul,83.0
XLM-R,XNLI,deu,82.5
XLM-R,XNLI,ell,80.8
XLM-R,XNLI,spa,83.7
XLM-R,XNLI,fra,82.2
XLM-R,XNLI,hin,75.6
XLM-R,XNLI,rus,79.1
XLM-R,XNLI,swh,71.2
XLM-R,XNLI,tha,77.4
XLM-R,XNLI,tur,78.0
XLM-R,XNLI,urd,71.7
XLM-R,XNLI,vie,79.3
XLM-R,XNLI,cmn,78.2
mT5,XNLI,eng,92.6
mT5,XNLI,arb,84.5
mT5,XNLI,bul,87.0
mT5,XNLI,deu,87.3
mT5,XNLI,ell,86.9
mT5,XNLI,spa,88.4
mT5,XNLI,fra,87.4
mT5,XNLI,hin,82.3
mT5,XNLI,rus,84.3
mT5,XNLI,swh,80.6
mT5,XNLI,tha,81.2
mT5,XNLI,tur,83.4
mT5,XNLI,urd,79.8
mT5,XNLI,vie,84.0
mT5,XNLI,cmn,83.0
mBERT,XCOPA,ekk,54.6
mBERT,XCOPA,hat,51.8
mBERT,XCOPA,ind,55.4
mBERT,XCOPA,ita,57.6
mBERT,XCOPA,quz,54.0
mBERT,XCOPA,swh,52.2
mBERT,XCOPA,tam,55.6
mBERT,XCOPA,tha,52.0
mBERT,XCOPA,tur,55.4
mBERT,XCOPA,vie,60.4
mBERT,XCOPA,cmn,67.6
XLM-R,XCOPA,ekk,68.2
XLM-R,XCOPA,hat,52.6
XLM-R,XCOPA,ind,80.6
XLM-R,XCOPA,ita,71.0
XLM-R,XCOPA,quz,52.8
XLM-R,XCOPA,swh,61.8
XLM-R,XCOPA,tam,73.8
XLM-R,XCOPA,tha,74.4
XLM-R,XCOPA,tur,72.0
XLM-R,XCOPA,vie,76.2
XLM-R,XCOPA,cmn,78.0
mT5,XCOPA,ekk,77.5
mT5,XCOPA,hat,72.1
mT5,XCOPA,ind,81.1
mT5,XCOPA,ita,75.9
mT5,XCOPA,quz,54.4
mT5,XCOPA,swh,74.1
mT5,XCOPA,tam,75.9
mT5,XCOPA,tha,78.3
mT5,XCOPA,tur,78.1
mT5,XCOPA,vie,76.9
mT5,XCOPA,cmn,79.5
mBERT,UD-POS,afr,86.1
mBERT,UD-POS,arb,54.0
mBERT,UD-POS,bul,85.2
mBERT,UD-POS,deu,85.6
mBERT,UD-POS,ell,80.4
mBERT,UD-POS,eng,95.4
mBERT,UD-POS,spa,85.8
mBERT,UD-POS,ekk,79.5
mBERT,UD-POS,eus,59.3
mBERT,UD-POS,pes,66.2
mBERT,UD-POS,fin,78.0
mBERT,UD-POS,fra,83.4
mBERT,UD-POS,heb,55.3
mBERT,UD-POS,hin,67.1
mBERT,UD-POS,hun,78.3
mBERT,UD-POS,ind,80.6
mBERT,UD-POS,ita,88.2
mBERT,UD-POS,jpn,49.7
mBERT,UD-POS,kaz,69.8
mBERT,UD-POS,kor,49.2
mBERT,UD-POS,mar,66.6
mBERT,UD-POS,nld,88.6
mBERT,UD-POS,por,86.8
mBERT,UD-POS,rus,85.1
mBERT,UD-POS,tam,68.6
mBERT,UD-POS,tel,75.2
mBERT,UD-POS,tha,39.1
mBERT,UD-POS,tgl,68.5
mBERT,UD-POS,tur,68.3
mBERT,UD-POS,urd,58.0
mBERT,UD-POS,vie,53.4
mBERT,UD-POS,yor,53.4
mBERT,UD-POS,cmn,61.2
mBERT,UD-POS,lit,77.9
mBERT,UD-POS,pol,79.9
mBERT,UD-POS,ukr,80.4
mBERT,UD-POS,wol,28.9
mBERT,UD-POS,ron,77.3
XLM-R-L,UD-POS,afr,89.7
XLM-R-L,UD-POS,arb,68.1
XLM-R-L,UD-POS,bul,88.6
XLM-R-L,UD-POS,deu,88.5
XLM-R-L,UD-POS,ell,86.5
XLM-R-L,UD-POS,eng,96.1
XLM-R-L,UD-POS,spa,89.1
XLM-R-L,UD-POS,ekk,87.2
XLM-R-L,UD-POS,eus,74.3
XLM-R-L,UD-POS,pes,73.9
XLM-R-L,UD-POS,fin,86.3
XLM-R-L,UD-POS,fra,88.4
XLM-R-L,UD-POS,heb,68.2
XLM-R-L,UD-POS,hin,74.4
XLM-R-L,UD-POS,hun,83.4
XLM-R-L,UD-POS,ind,82.9
XLM-R-L,UD-POS,ita,89.8
XLM-R-L,UD-POS,jpn,29.4
XLM-R-L,UD-POS,kaz,79.3
XLM-R-L,UD-POS,kor,54.0
XLM-R-L,UD-POS,mar,85.3
XLM-R-L,UD-POS,nld,89.5
XLM-R-L,UD-POS,por,89.3
XLM-R-L,UD-POS,rus,89.7
XLM-R-L,UD-POS,tam,77.3
XLM-R-L,UD-POS,tel,85.3
XLM-R-L,UD-POS,tha,47.7
XLM-R-L,UD-POS,tgl,75.0
XLM-R-L,UD-POS,tur,75.4
XLM-R-L,UD-POS,urd,67.2
XLM-R-L,UD-POS,vie,56.8
XLM-R-L,UD-POS,yor,22.8
XLM-R-L,UD-POS,cmn,40.8
XLM-R-L,UD-POS,lit,84.5
XLM-R-L,UD-POS,pol,84.8
XLM-R-L,UD-POS,ukr,85.8
XLM-R-L,UD-POS,wol,27.6
XLM-R-L,UD-POS,ron,85.5
mBERT,WikiANN-NER,arb,43.9
mBERT,WikiANN-NER,heb,56.6
mBERT,WikiANN-NER,vie,72.1
mBERT,WikiANN-NER,ind,62.9
mBERT,WikiANN-NER,jav,64.6
mBERT,WikiANN-NER,zsm,70.9
mBERT,WikiANN-NER,tgl,73.7
mBERT,WikiANN-NER,eus,65.0
mBERT,WikiANN-NER,mal,53.5
mBERT,WikiANN-NER,tam,53.0
mBERT,WikiANN-NER,tel,47.4
mBERT,WikiANN-NER,afr,76.0
mBERT,WikiANN-NER,nld,81.9
mBERT,WikiANN-NER,eng,84.5
mBERT,WikiANN-NER,deu,78.0
mBERT,WikiANN-NER,ell,68.8
mBERT,WikiANN-NER,ben,70.3
mBERT,WikiANN-NER,hin,66.7
mBERT,WikiANN-NER,mar,57.3
mBERT,WikiANN-NER,urd,35.6
mBERT,WikiANN-NER,pes,50.1
mBERT,WikiANN-NER,fra,79.1
mBERT,WikiANN-NER,ita,81.3
mBERT,WikiANN-NER,por,79.8
mBERT,WikiANN-NER,spa,72.2
mBERT,WikiANN-NER,bul,77.2
mBERT,WikiANN-NER,rus,63.5
mBERT,WikiANN-NER,jpn,28.4
mBERT,WikiANN-NER,kat,65.0
mBERT,WikiANN-NER,kor,59.1
mBERT,WikiANN-NER,tha,2.3
mBERT,WikiANN-NER,swh,72.7
mBERT,WikiANN-NER,yor,49.4
mBERT,WikiANN-NER,mya,49.1
mBERT,WikiANN-NER,cmn,43.3
mBERT,WikiANN-NER,kaz,49.0
mBERT,WikiANN-NER,tur,72.1
mBERT,WikiANN-NER,ekk,77.0
mBERT,WikiANN-NER,fin,77.4
mBERT,WikiANN-NER,hun,75.0
mBERT,WikiANN-NER,quz,57.4
mBERT,WikiANN-NER,pol,79.9
mBERT,WikiANN-NER,ukr,69.3
mBERT,WikiANN-NER,azj,65.6
mBERT,WikiANN-NER,lit,74.3
mBERT,WikiANN-NER,pan,37.0
mBERT,WikiANN-NER,guj,47.3
mBERT,WikiANN-NER,ron,72.1
XLM-R-L,WikiANN-NER,arb,43.7
XLM-R-L,WikiANN-NER,heb,54.1
XLM-R-L,WikiANN-NER,vie,77.2
XLM-R-L,WikiANN-NER,ind,52.3
XLM-R-L,WikiANN-NER,jav,58.7
XLM-R-L,WikiANN-NER,zsm,69.8
XLM-R-L,WikiANN-NER,tgl,72.2
XLM-R-L,WikiANN-NER,eus,62.1
XLM-R-L,WikiANN-NER,mal,65.8
XLM-R-L,WikiANN-NER,tam,56.9
XLM-R-L,WikiANN-NER,tel,52.3
XLM-R-L,WikiANN-NER,afr,77.7
XLM-R-L,WikiANN-NER,nld,84.3
XLM-R-L,WikiANN-NER,eng,84.6
XLM-R-L,WikiANN-NER,deu,78.0
XLM-R-L,WikiANN-NER,ell,77.2
XLM-R-L,WikiANN-NER,ben,76.3
XLM-R-L,WikiANN-NER,hin,71.0
XLM-R-L,WikiANN-NER,mar,64.2
XLM-R-L,WikiANN-NER,urd,54.1
XLM-R-L,WikiANN-NER,pes,61.1
XLM-R-L,WikiANN-NER,fra,79.1
XLM-R-L,WikiANN-NER,ita,81.1
XLM-R-L,WikiANN-NER,por,79.6
XLM-R-L,WikiANN-NER,spa,68.8
XLM-R-L,WikiANN-NER,bul,81.2
XLM-R-L,WikiANN-NER,rus,71.5
XLM-R-L,WikiANN-NER,jpn,18.3
XLM-R-L,WikiANN-NER,kat,68.9
XLM-R-L,WikiANN-NER,kor,58.0
XLM-R-L,WikiANN-NER,tha,1.5
XLM-R-L,WikiANN-NER,swh,69.9
XLM-R-L,WikiANN-NER,yor,41.8
XLM-R-L,WikiANN-NER,mya,50.9
XLM-R-L,WikiANN-NER,cmn,25.8
XLM-R-L,WikiANN-NER,kaz,49.9
XLM-R-L,WikiANN-NER,tur,78.9
XLM-R-L,WikiANN-NER,ekk,78.0
XLM-R-L,WikiANN-NER,fin,78.6
XLM-R-L,WikiANN-NER,hun,79.3
XLM-R-L,WikiANN-NER,quz,50.4
XLM-R-L,WikiANN-NER,pol,81.3
XLM-R-L,WikiANN-NER,ukr,73.1
XLM-R-L,WikiANN-NER,azj,69.2
XLM-R-L,WikiANN-NER,lit,76.9
XLM-R-L,WikiANN-NER,pan,46.8
XLM-R-L,WikiANN-NER,guj,60.7
XLM-R-L,WikiANN-NER,ron,79.6
mBERT,XQuAD,eng,84.5
mBERT,XQuAD,spa,75.1
mBERT,XQuAD,deu,73.2
mBERT,XQuAD,ell,62.9
mBERT,XQuAD,rus,71.3
mBERT,XQuAD,tur,53.7
mBERT,XQuAD,arb,62.2
mBERT,XQuAD,vie,70.1
mBERT,XQuAD,tha,43.5
mBERT,XQuAD,cmn,59.6
mBERT,XQuAD,hin,59.5
XLM-R-L,XQuAD,eng,87.4
XLM-R-L,XQuAD,spa,82.7
XLM-R-L,XQuAD,deu,80.9
XLM-R-L,XQuAD,ell,80.7
XLM-R-L,XQuAD,rus,80.5
XLM-R-L,XQuAD,tur,76.1
XLM-R-L,XQuAD,arb,74.4
XLM-R-L,XQuAD,vie,79.2
XLM-R-L,XQuAD,tha,75.4
XLM-R-L,XQuAD,cmn,55.0
XLM-R-L,XQuAD,hin,77.0
mT5,XQuAD,eng,90.2
mT5,XQuAD,spa,84.6
mT5,XQuAD,deu,82.3
mT5,XQuAD,ell,82.8
mT5,XQuAD,rus,78.8
mT5,XQuAD,tur,76.5
mT5,XQuAD,arb,80.3
mT5,XQuAD,vie,83.3
mT5,XQuAD,tha,74.7
mT5,XQuAD,cmn,81.7
mT5,XQuAD,hin,81.7
mBERT,MLQA,eng,80.7
mBERT,MLQA,spa,66.2
mBERT,MLQA,deu,60.2
mBERT,MLQA,arb,51.6
mBERT,MLQA,hin,49.9
mBERT,MLQA,vie,60.2
mBERT,MLQA,cmn,60.3
XLM-R-L,MLQA,eng,83.9
XLM-R-L,MLQA,spa,74.4
XLM-R-L,MLQA,deu,70.3
XLM-R-L,MLQA,arb,67.0
XLM-R-L,MLQA,hin,70.8
XLM-R-L,MLQA,vie,74.2
XLM-R-L,MLQA,cmn,68.4
mT5,MLQA,eng,86.4
mT5,MLQA,spa,76.2
mT5,MLQA,deu,73.1
mT5,MLQA,arb,70.2
mT5,MLQA,hin,75.3
mT5,MLQA,vie,76.5
mT5,MLQA,cmn,71.4
mBERT,TyDiQA,eng,69.4
mBERT,TyDiQA,arb,61.7
mBERT,TyDiQA,ben,53.5
mBERT,TyDiQA,fin,57.4
mBERT,TyDiQA,ind,63.2
mBERT,TyDiQA,kor,57.6
mBERT,TyDiQA,rus,56.5
mBERT,TyDiQA,swh,59.7
mBERT,TyDiQA,tgl,46.2
XLM-R-L,TyDiQA,eng,69.2
XLM-R-L,TyDiQA,arb,66.1
XLM-R-L,TyDiQA,ben,59.1
XLM-R-L,TyDiQA,fin,64.7
XLM-R-L,TyDiQA,ind,73.8
XLM-R-L,TyDiQA,kor,58.0
XLM-R-L,TyDiQA,rus,62.2
XLM-R-L,TyDiQA,swh,66.4
XLM-R-L,TyDiQA,tgl,59.1
mT5,TyDiQA,eng,83.1
mT5,TyDiQA,arb,82.4
mT5,TyDiQA,ben,83.6
mT5,TyDiQA,fin,81.2
mT5,TyDiQA,ind,84.5
mT5,TyDiQA,kor,73.2
mT5,TyDiQA,rus,78.7
mT5,TyDiQA,swh,87.2
mT5,TyDiQA,tgl,83.6
mBERT,Tatoeba,arb,32.7
mBERT,Tatoeba,heb,46.8
mBERT,Tatoeba,vie,66.2
mBERT,Tatoeba,ind,57.7
mBERT,Tatoeba,jav,18.5
mBERT,Tatoeba,tgl,17.5
mBERT,Tatoeba,eus,31.0
mBERT,Tatoeba,mal,19.2
mBERT,Tatoeba,tam,23.5
mBERT,Tatoeba,tel,26.1
mBERT,Tatoeba,afr,49.6
mBERT,Tatoeba,nld,66.1
mBERT,Tatoeba,deu,79.7
mBERT,Tatoeba,ell,29.1
mBERT,Tatoeba,ben,20.7
mBERT,Tatoeba,hin,38.6
mBERT,Tatoeba,mar,23.7
mBERT,Tatoeba,urd,38.4
mBERT,Tatoeba,pes,49.9
mBERT,Tatoeba,fra,67.1
mBERT,Tatoeba,ita,65.6
mBERT,Tatoeba,por,74.4
mBERT,Tatoeba,spa,71.8
mBERT,Tatoeba,bul,52.8
mBERT,Tatoeba,rus,65.1
mBERT,Tatoeba,jpn,50.8
mBERT,Tatoeba,kat,21.1
mBERT,Tatoeba,kor,43.9
mBERT,Tatoeba,tha,15.0
mBERT,Tatoeba,swh,12.1
mBERT,Tatoeba,cmn,74.9
mBERT,Tatoeba,kaz,30.4
mBERT,Tatoeba,tur,38.4
mBERT,Tatoeba,ekk,34.0
mBERT,Tatoeba,fin,42.7
mBERT,Tatoeba,hun,44.2
mBERT,Tatoeba,azj,37.2
mBERT,Tatoeba,lit,35.4
mBERT,Tatoeba,pol,54.1
mBERT,Tatoeba,ukr,55.8
mBERT,Tatoeba,ron,54.8
XLM-R,Tatoeba,arb,68.3
XLM-R,Tatoeba,heb,77.6
XLM-R,Tatoeba,vie,91.0
XLM-R,Tatoeba,ind,88.4
XLM-R,Tatoeba,jav,28.8
XLM-R,Tatoeba,tgl,60.8
XLM-R,Tatoeba,eus,58.6
XLM-R,Tatoeba,mal,83.6
XLM-R,Tatoeba,tam,65.8
XLM-R,Tatoeba,tel,80.8
XLM-R,Tatoeba,afr,74.9
XLM-R,Tatoeba,nld,90.0
XLM-R,Tatoeba,deu,96.6
XLM-R,Tatoeba,ell,76.6
XLM-R,Tatoeba,ben,67.6
XLM-R,Tatoeba,hin,88.9
XLM-R,Tatoeba,mar,70.4
XLM-R,Tatoeba,urd,76.5
XLM-R,Tatoeba,pes,85.3
XLM-R,Tatoeba,fra,87.5
XLM-R,Tatoeba,ita,82.4
XLM-R,Tatoeba,por,89.8
XLM-R,Tatoeba,spa,89.5
XLM-R,Tatoeba,bul,84.4
XLM-R,Tatoeba,rus,86.1
XLM-R,Tatoeba,jpn,75.5
XLM-R,Tatoeba,kat,66.2
XLM-R,Tatoeba,kor,81.9
XLM-R,Tatoeba,tha,80.5
XLM-R,Tatoeba,swh,31.3
XLM-R,Tatoeba,cmn,79.5
